alert_id,work_id,alert_type,status,message
V2-W-000048-OBSERVED_DELAY,W-000048,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000048-RELEASE_ABOVE_VISIBLE_SANCTION,W-000048,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000056-OBSERVED_COST_OVERRUN,W-000056,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000056-RELEASE_ABOVE_VISIBLE_SANCTION,W-000056,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000063-OBSERVED_DELAY,W-000063,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000068-OBSERVED_DELAY,W-000068,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000069-COMPLETION_RECORDS_REVIEW,W-000069,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000076-OBSERVED_COST_OVERRUN,W-000076,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000076-RELEASE_ABOVE_VISIBLE_SANCTION,W-000076,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000079-OBSERVED_COST_OVERRUN,W-000079,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000079-RELEASE_ABOVE_VISIBLE_SANCTION,W-000079,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000082-OBSERVED_DELAY,W-000082,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000083-OBSERVED_DELAY,W-000083,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000084-RELEASE_ABOVE_VISIBLE_SANCTION,W-000084,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000085-OBSERVED_DELAY,W-000085,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000087-MISSING_MONTHLY_SITE_EVIDENCE,W-000087,MISSING_MONTHLY_SITE_EVIDENCE,REQUIRES_REVIEW,Current-month site evidence is overdue; this warning adds no Review Priority points.
V2-W-000088-RELEASE_ABOVE_VISIBLE_SANCTION,W-000088,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000089-OBSERVED_COST_OVERRUN,W-000089,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000089-RELEASE_ABOVE_VISIBLE_SANCTION,W-000089,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000090-COMPLETION_RECORDS_REVIEW,W-000090,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000092-OBSERVED_COST_OVERRUN,W-000092,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000092-RELEASE_ABOVE_VISIBLE_SANCTION,W-000092,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000094-OBSERVED_COST_OVERRUN,W-000094,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000094-RELEASE_ABOVE_VISIBLE_SANCTION,W-000094,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000095-OBSERVED_COST_OVERRUN,W-000095,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000095-RELEASE_ABOVE_VISIBLE_SANCTION,W-000095,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000096-OBSERVED_COST_OVERRUN,W-000096,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000096-RELEASE_ABOVE_VISIBLE_SANCTION,W-000096,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000099-OBSERVED_COST_OVERRUN,W-000099,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000099-RELEASE_ABOVE_VISIBLE_SANCTION,W-000099,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000102-OBSERVED_DELAY,W-000102,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000103-OBSERVED_DELAY,W-000103,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000103-RELEASE_ABOVE_VISIBLE_SANCTION,W-000103,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000104-OBSERVED_DELAY,W-000104,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000105-OBSERVED_DELAY,W-000105,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000105-RELEASE_ABOVE_VISIBLE_SANCTION,W-000105,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000106-RELEASE_ABOVE_VISIBLE_SANCTION,W-000106,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000107-OBSERVED_DELAY,W-000107,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000111-COMPLETION_RECORDS_REVIEW,W-000111,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000115-OBSERVED_COST_OVERRUN,W-000115,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000115-RELEASE_ABOVE_VISIBLE_SANCTION,W-000115,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000116-OBSERVED_COST_OVERRUN,W-000116,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000116-RELEASE_ABOVE_VISIBLE_SANCTION,W-000116,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000122-RELEASE_ABOVE_VISIBLE_SANCTION,W-000122,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000123-RELEASE_ABOVE_VISIBLE_SANCTION,W-000123,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000127-OBSERVED_DELAY,W-000127,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000128-OBSERVED_DELAY,W-000128,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000129-COMPLETION_RECORDS_REVIEW,W-000129,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000131-PAYMENT_CHRONOLOGY_REVIEW,W-000131,PAYMENT_CHRONOLOGY_REVIEW,REQUIRES_REVIEW,A payment authorization precedes its request date.
V2-W-000132-OBSERVED_COST_OVERRUN,W-000132,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000132-RELEASE_ABOVE_VISIBLE_SANCTION,W-000132,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000134-OBSERVED_COST_OVERRUN,W-000134,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000134-RELEASE_ABOVE_VISIBLE_SANCTION,W-000134,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000135-OBSERVED_COST_OVERRUN,W-000135,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000135-RELEASE_ABOVE_VISIBLE_SANCTION,W-000135,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000138-OBSERVED_COST_OVERRUN,W-000138,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000138-RELEASE_ABOVE_VISIBLE_SANCTION,W-000138,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000139-OBSERVED_COST_OVERRUN,W-000139,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000139-RELEASE_ABOVE_VISIBLE_SANCTION,W-000139,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000139-COMPLETION_RECORDS_REVIEW,W-000139,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000142-LOCATION_REQUIRES_REVIEW,W-000142,LOCATION_REQUIRES_REVIEW,REQUIRES_REVIEW,Latest capture is outside the prototype 500-metre comparison threshold.
V2-W-000144-RELEASE_ABOVE_VISIBLE_SANCTION,W-000144,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000145-OBSERVED_DELAY,W-000145,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000145-RELEASE_ABOVE_VISIBLE_SANCTION,W-000145,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000145-MISSING_MONTHLY_SITE_EVIDENCE,W-000145,MISSING_MONTHLY_SITE_EVIDENCE,REQUIRES_REVIEW,Current-month site evidence is overdue; this warning adds no Review Priority points.
V2-W-000147-RELEASE_ABOVE_VISIBLE_SANCTION,W-000147,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000152-OBSERVED_COST_OVERRUN,W-000152,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000152-RELEASE_ABOVE_VISIBLE_SANCTION,W-000152,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000152-COMPLETION_RECORDS_REVIEW,W-000152,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000154-OBSERVED_COST_OVERRUN,W-000154,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000154-RELEASE_ABOVE_VISIBLE_SANCTION,W-000154,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000157-OBSERVED_COST_OVERRUN,W-000157,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000157-RELEASE_ABOVE_VISIBLE_SANCTION,W-000157,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000159-OBSERVED_COST_OVERRUN,W-000159,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000159-RELEASE_ABOVE_VISIBLE_SANCTION,W-000159,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000165-RELEASE_ABOVE_VISIBLE_SANCTION,W-000165,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000166-RELEASE_ABOVE_VISIBLE_SANCTION,W-000166,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000168-OBSERVED_DELAY,W-000168,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000171-OBSERVED_COST_OVERRUN,W-000171,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000171-RELEASE_ABOVE_VISIBLE_SANCTION,W-000171,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000173-COMPLETION_RECORDS_REVIEW,W-000173,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000175-OBSERVED_COST_OVERRUN,W-000175,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000175-RELEASE_ABOVE_VISIBLE_SANCTION,W-000175,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000184-OBSERVED_DELAY,W-000184,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000186-OBSERVED_DELAY,W-000186,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000186-RELEASE_ABOVE_VISIBLE_SANCTION,W-000186,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000189-OBSERVED_COST_OVERRUN,W-000189,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000189-RELEASE_ABOVE_VISIBLE_SANCTION,W-000189,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000191-OBSERVED_COST_OVERRUN,W-000191,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000191-RELEASE_ABOVE_VISIBLE_SANCTION,W-000191,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000192-COMPLETION_RECORDS_REVIEW,W-000192,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000196-OBSERVED_COST_OVERRUN,W-000196,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000196-RELEASE_ABOVE_VISIBLE_SANCTION,W-000196,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000196-COMPLETION_RECORDS_REVIEW,W-000196,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000199-OBSERVED_COST_OVERRUN,W-000199,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000199-RELEASE_ABOVE_VISIBLE_SANCTION,W-000199,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000202-OBSERVED_DELAY,W-000202,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000203-MISSING_MONTHLY_SITE_EVIDENCE,W-000203,MISSING_MONTHLY_SITE_EVIDENCE,REQUIRES_REVIEW,Current-month site evidence is overdue; this warning adds no Review Priority points.
V2-W-000206-RELEASE_ABOVE_VISIBLE_SANCTION,W-000206,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000208-OBSERVED_DELAY,W-000208,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000210-COMPLETION_RECORDS_REVIEW,W-000210,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000211-OBSERVED_COST_OVERRUN,W-000211,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000211-RELEASE_ABOVE_VISIBLE_SANCTION,W-000211,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000211-COMPLETION_RECORDS_REVIEW,W-000211,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000212-COMPLETION_RECORDS_REVIEW,W-000212,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000213-COMPLETION_RECORDS_REVIEW,W-000213,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000214-OBSERVED_COST_OVERRUN,W-000214,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000214-RELEASE_ABOVE_VISIBLE_SANCTION,W-000214,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000216-COMPLETION_RECORDS_REVIEW,W-000216,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000218-OBSERVED_COST_OVERRUN,W-000218,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000218-RELEASE_ABOVE_VISIBLE_SANCTION,W-000218,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000226-OBSERVED_DELAY,W-000226,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000233-OBSERVED_COST_OVERRUN,W-000233,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000233-RELEASE_ABOVE_VISIBLE_SANCTION,W-000233,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000233-COMPLETION_RECORDS_REVIEW,W-000233,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000234-OBSERVED_COST_OVERRUN,W-000234,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000234-RELEASE_ABOVE_VISIBLE_SANCTION,W-000234,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000236-COMPLETION_RECORDS_REVIEW,W-000236,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000237-OBSERVED_COST_OVERRUN,W-000237,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000237-RELEASE_ABOVE_VISIBLE_SANCTION,W-000237,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000242-RELEASE_ABOVE_VISIBLE_SANCTION,W-000242,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000244-OBSERVED_DELAY,W-000244,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000245-OBSERVED_DELAY,W-000245,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
V2-W-000247-RELEASE_ABOVE_VISIBLE_SANCTION,W-000247,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000249-COMPLETION_RECORDS_REVIEW,W-000249,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000250-COMPLETION_RECORDS_REVIEW,W-000250,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000251-OBSERVED_COST_OVERRUN,W-000251,OBSERVED_COST_OVERRUN,REQUIRES_REVIEW,Observed final expenditure is above sanction.
V2-W-000251-RELEASE_ABOVE_VISIBLE_SANCTION,W-000251,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000253-COMPLETION_RECORDS_REVIEW,W-000253,COMPLETION_RECORDS_REVIEW,REQUIRES_REVIEW,One or more applicable closure records are not recorded.
V2-W-000262-PAYMENT_CHRONOLOGY_REVIEW,W-000262,PAYMENT_CHRONOLOGY_REVIEW,REQUIRES_REVIEW,A payment authorization precedes its request date.
V2-W-000265-RELEASE_ABOVE_VISIBLE_SANCTION,W-000265,RELEASE_ABOVE_VISIBLE_SANCTION,REQUIRES_REVIEW,Released payments exceed the visible sanctioned amount; reconciliation is required.
V2-W-000267-OBSERVED_DELAY,W-000267,OBSERVED_DELAY,REQUIRES_REVIEW,Expected completion has passed while the work remains in execution.
