work_id,mp_id,state_name,constituency,district,block,village,sector,sub_sector,work_description,registered_latitude,registered_longitude,coordinates_provenance,recommendation_date,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,sanction_date,sanction_revision_count,implementing_agency_id,expected_start_date,actual_start_date,expected_completion_date,actual_completion_date,lifecycle_stage,current_status,current_physical_progress_pct,current_expenditure_inr,final_actual_expenditure_inr,source_type,synthetic_demo_data
W-000011,MP-S05-02,Rajasthan,Rajasthan Demo Constituency 2,Rajasthan Demo District 1,Demo Block 1,Demo Village 37,Education,library building,"Construction and improvement of library building at Demo Village 37, Demo Block 1",26.563032,73.752849,SYNTHETIC_PROTOTYPE_COORDINATE,2022-07-31,7152000,7575000,6992000,2022-09-09,0,IA-S05-01-01,2022-10-14,2022-11-01,2023-06-02,2023-06-26,COMPLETION,COMPLETED,100.0,5888000,5888000,SYNTHETIC_V2,True
W-000012,MP-S06-02,Tamil Nadu,Tamil Nadu Demo Constituency 2,Tamil Nadu Demo District 1,Demo Block 2,Demo Village 3,Roads,rural road,"Construction and improvement of rural road at Demo Village 3, Demo Block 2",11.076812,78.66124,SYNTHETIC_PROTOTYPE_COORDINATE,2022-08-11,5390000,5068000,4856000,2022-11-08,0,IA-S06-01-01,2023-01-12,2023-01-18,2024-02-20,2024-07-08,COMPLETION,COMPLETED,100.0,6108000,6108000,SYNTHETIC_V2,True
W-000013,MP-S01-03,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,Andhra Pradesh Demo District 1,Demo Block 3,Demo Village 10,Others,public sanitation block,"Construction and improvement of public sanitation block at Demo Village 10, Demo Block 3",15.287376,79.674849,SYNTHETIC_PROTOTYPE_COORDINATE,2022-08-22,5316000,5237000,5107000,2022-11-09,0,IA-S01-01-01,2022-12-15,2023-01-22,2024-04-02,2024-06-11,COMPLETION,COMPLETED,100.0,4961000,4961000,SYNTHETIC_V2,True
W-000014,MP-S02-03,Karnataka,Karnataka Demo Constituency 3,Karnataka Demo District 1,Demo Block 4,Demo Village 17,Community Infrastructure,sports facility,"Construction and improvement of sports facility at Demo Village 17, Demo Block 4",15.29822,75.690053,SYNTHETIC_PROTOTYPE_COORDINATE,2022-09-02,10527000,10180000,10146000,2022-12-17,0,IA-S02-01-01,2023-02-14,2023-03-01,2024-05-07,2024-07-31,COMPLETION,COMPLETED,100.0,13550000,13550000,SYNTHETIC_V2,True
W-000015,MP-S03-03,Maharashtra,Maharashtra Demo Constituency 3,Maharashtra Demo District 1,Demo Block 5,Demo Village 24,Health,primary health centre,"Construction and improvement of primary health centre at Demo Village 24, Demo Block 5",19.4092,74.999156,SYNTHETIC_PROTOTYPE_COORDINATE,2022-09-13,4955000,4836000,4812000,2022-11-15,0,IA-S03-01-01,2022-12-17,2022-12-16,2024-03-15,2024-06-13,COMPLETION,COMPLETED,100.0,4236000,4236000,SYNTHETIC_V2,True
W-000016,MP-S04-03,Odisha,Odisha Demo Constituency 3,Odisha Demo District 1,Demo Block 1,Demo Village 31,Drinking Water,community water tank,"Construction and improvement of community water tank at Demo Village 31, Demo Block 1",20.52683,84.409436,SYNTHETIC_PROTOTYPE_COORDINATE,2022-09-24,839000,791000,807000,2022-11-25,0,IA-S04-01-01,2023-01-18,2023-02-11,2023-07-23,2023-08-20,COMPLETION,COMPLETED,100.0,681000,681000,SYNTHETIC_V2,True
W-000017,MP-S05-03,Rajasthan,Rajasthan Demo Constituency 3,Rajasthan Demo District 1,Demo Block 2,Demo Village 38,Drinking Water,borewell system,"Construction and improvement of borewell system at Demo Village 38, Demo Block 2",26.634674,73.822035,SYNTHETIC_PROTOTYPE_COORDINATE,2022-10-05,10799000,10950000,10532000,2022-11-28,0,IA-S05-01-01,2023-01-26,2023-01-29,2023-07-02,2023-11-20,COMPLETION,COMPLETED,100.0,9404000,9404000,SYNTHETIC_V2,True
W-000018,MP-S06-03,Tamil Nadu,Tamil Nadu Demo Constituency 3,Tamil Nadu Demo District 1,Demo Block 3,Demo Village 4,Education,school classroom,"Construction and improvement of school classroom at Demo Village 4, Demo Block 3",11.146692,78.737637,SYNTHETIC_PROTOTYPE_COORDINATE,2022-10-16,10736000,11496000,11744000,2023-01-19,0,IA-S06-01-01,2023-02-13,2023-03-18,2024-03-15,2024-07-30,COMPLETION,COMPLETED,100.0,10671000,10671000,SYNTHETIC_V2,True
W-000019,MP-S01-01,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,Andhra Pradesh Demo District 2,Demo Block 4,Demo Village 11,Roads,approach road,"Construction and improvement of approach road at Demo Village 11, Demo Block 4",15.362042,79.747067,SYNTHETIC_PROTOTYPE_COORDINATE,2022-10-27,7218000,7341000,7590000,2022-12-13,0,IA-S01-02-01,2022-12-31,2023-01-13,2024-03-23,2024-04-18,COMPLETION,COMPLETED,100.0,7557000,7557000,SYNTHETIC_V2,True
W-000020,MP-S02-01,Karnataka,Karnataka Demo Constituency 1,Karnataka Demo District 2,Demo Block 5,Demo Village 18,Others,drainage improvement,"Construction and improvement of drainage improvement at Demo Village 18, Demo Block 5",15.371198,75.760969,SYNTHETIC_PROTOTYPE_COORDINATE,2022-11-07,11418000,11798000,,,0,IA-S02-02-01,,,,,PRE_SANCTION,RECOMMENDED,0.0,0,,SYNTHETIC_V2,True
W-000021,MP-S03-01,Maharashtra,Maharashtra Demo Constituency 1,Maharashtra Demo District 2,Demo Block 1,Demo Village 25,Community Infrastructure,community hall,"Construction and improvement of community hall at Demo Village 25, Demo Block 1",19.484175,75.072532,SYNTHETIC_PROTOTYPE_COORDINATE,2022-11-18,4753000,4406000,,,0,IA-S03-02-01,,,,,PRE_SANCTION,RECOMMENDED,0.0,0,,SYNTHETIC_V2,True
W-000022,MP-S04-01,Odisha,Odisha Demo Constituency 1,Odisha Demo District 2,Demo Block 2,Demo Village 32,Health,diagnostic room,"Construction and improvement of diagnostic room at Demo Village 32, Demo Block 2",20.597111,84.485393,SYNTHETIC_PROTOTYPE_COORDINATE,2022-11-29,9588000,9428000,9322000,2023-01-09,0,IA-S04-02-01,2023-03-15,2023-03-10,2023-11-06,,EXECUTION,ONGOING,63.4,6219000,,SYNTHETIC_V2,True
W-000023,MP-S05-01,Rajasthan,Rajasthan Demo Constituency 1,Rajasthan Demo District 2,Demo Block 3,Demo Village 39,Drinking Water,borewell system,"Construction and improvement of borewell system at Demo Village 39, Demo Block 3",26.705547,73.897539,SYNTHETIC_PROTOTYPE_COORDINATE,2022-12-10,10685000,11387000,12071000,2023-03-08,0,IA-S05-02-01,2023-04-14,2023-04-11,2023-12-11,,EXECUTION,ONGOING,92,13885000,,SYNTHETIC_V2,True
W-000024,MP-S06-01,Tamil Nadu,Tamil Nadu Demo Constituency 1,Tamil Nadu Demo District 2,Demo Block 4,Demo Village 5,Education,school classroom,"Construction and improvement of school classroom at Demo Village 5, Demo Block 4",11.221319,78.805938,SYNTHETIC_PROTOTYPE_COORDINATE,2022-12-21,5386000,5350000,5153000,2023-02-26,1,IA-S06-02-01,2023-04-12,2023-04-26,2027-03-17,,EXECUTION,ONGOING,92,4414000,,SYNTHETIC_V2,True
W-000025,MP-S01-02,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,Andhra Pradesh Demo District 2,Demo Block 5,Demo Village 12,Roads,approach road,"Construction and improvement of approach road at Demo Village 12, Demo Block 5",15.432351,79.819558,SYNTHETIC_PROTOTYPE_COORDINATE,2023-01-01,7698000,8133000,7506000,2023-03-12,0,IA-S01-02-01,2023-04-23,2023-06-02,2026-11-29,,EXECUTION,ONGOING,88.9,7395000,,SYNTHETIC_V2,True
W-000026,MP-S02-02,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 2,Demo Block 1,Demo Village 19,Others,drainage improvement,"Construction and improvement of drainage improvement at Demo Village 19, Demo Block 1",15.444897,75.830779,SYNTHETIC_PROTOTYPE_COORDINATE,2023-01-12,5686000,6031000,6033000,2023-04-25,0,IA-S02-02-01,2023-06-04,2023-06-27,2026-10-13,,EXECUTION,ONGOING,82.2,4053000,,SYNTHETIC_V2,True
W-000027,MP-S03-02,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 2,Demo Block 2,Demo Village 26,Community Infrastructure,community hall,"Construction and improvement of community hall at Demo Village 26, Demo Block 2",19.555546,75.14448,SYNTHETIC_PROTOTYPE_COORDINATE,2023-01-23,844000,913000,918000,2023-05-09,0,IA-S03-02-01,2023-07-06,2023-07-01,2024-04-15,,EXECUTION,ONGOING,70.6,845000,,SYNTHETIC_V2,True
W-000028,MP-S04-02,Odisha,Odisha Demo Constituency 2,Odisha Demo District 2,Demo Block 3,Demo Village 33,Health,diagnostic room,"Construction and improvement of diagnostic room at Demo Village 33, Demo Block 3",20.665306,84.558989,SYNTHETIC_PROTOTYPE_COORDINATE,2023-02-03,4777000,4462000,4400000,2023-02-24,0,IA-S04-02-01,2023-04-07,2023-04-28,2026-10-28,,EXECUTION,ONGOING,92,4271000,,SYNTHETIC_V2,True
W-000029,MP-S05-02,Rajasthan,Rajasthan Demo Constituency 2,Rajasthan Demo District 2,Demo Block 4,Demo Village 40,Drinking Water,borewell system,"Construction and improvement of borewell system at Demo Village 40, Demo Block 4",26.432727,73.969825,SYNTHETIC_PROTOTYPE_COORDINATE,2023-02-14,5571000,5361000,5215000,2023-04-06,1,IA-S05-02-01,2023-05-18,2023-05-29,2024-07-17,2024-10-07,COMPLETION,COMPLETED,100.0,6656000,6656000,SYNTHETIC_V2,True
W-000030,MP-S06-02,Tamil Nadu,Tamil Nadu Demo Constituency 2,Tamil Nadu Demo District 2,Demo Block 5,Demo Village 6,Education,school classroom,"Construction and improvement of school classroom at Demo Village 6, Demo Block 5",10.943218,78.880277,SYNTHETIC_PROTOTYPE_COORDINATE,2023-02-25,7987000,7700000,7933000,2023-04-05,0,IA-S06-02-01,2023-06-04,2023-06-23,2024-10-10,2024-11-18,COMPLETION,COMPLETED,100.0,7632000,7632000,SYNTHETIC_V2,True
W-000031,MP-S01-03,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,Andhra Pradesh Demo District 2,Demo Block 1,Demo Village 13,Roads,approach road,"Construction and improvement of approach road at Demo Village 13, Demo Block 1",15.156381,79.517109,SYNTHETIC_PROTOTYPE_COORDINATE,2023-03-08,8471000,9044000,9289000,2023-06-24,0,IA-S01-02-01,2023-07-17,2023-08-18,2024-05-09,2024-07-08,COMPLETION,COMPLETED,100.0,7994000,7994000,SYNTHETIC_V2,True
W-000032,MP-S02-03,Karnataka,Karnataka Demo Constituency 3,Karnataka Demo District 2,Demo Block 2,Demo Village 20,Others,drainage improvement,"Construction and improvement of drainage improvement at Demo Village 20, Demo Block 2",15.165157,75.529561,SYNTHETIC_PROTOTYPE_COORDINATE,2023-03-19,731000,773000,700000,2023-04-16,0,IA-S02-02-01,2023-05-26,2023-06-18,2024-01-14,2024-01-14,COMPLETION,COMPLETED,100.0,840000,840000,SYNTHETIC_V2,True
W-000033,MP-S03-03,Maharashtra,Maharashtra Demo Constituency 3,Maharashtra Demo District 2,Demo Block 3,Demo Village 27,Community Infrastructure,community hall,"Construction and improvement of community hall at Demo Village 27, Demo Block 3",19.279604,74.844852,SYNTHETIC_PROTOTYPE_COORDINATE,2023-03-30,2994000,3082000,2922000,2023-05-08,0,IA-S03-02-01,2023-06-30,2023-08-06,2024-04-04,2024-03-27,COMPLETION,COMPLETED,100.0,3837000,3837000,SYNTHETIC_V2,True
W-000034,MP-S04-03,Odisha,Odisha Demo Constituency 3,Odisha Demo District 2,Demo Block 4,Demo Village 34,Community Infrastructure,public shelter,"Construction and improvement of public shelter at Demo Village 34, Demo Block 4",20.393995,84.258372,SYNTHETIC_PROTOTYPE_COORDINATE,2023-04-10,2860000,2841000,2748000,2023-05-21,1,IA-S04-02-01,2023-06-28,2023-07-06,2023-12-02,2024-03-14,COMPLETION,COMPLETED,100.0,2615000,2615000,SYNTHETIC_V2,True
W-000035,MP-S05-03,Rajasthan,Rajasthan Demo Constituency 3,Rajasthan Demo District 2,Demo Block 5,Demo Village 41,Health,community clinic,"Construction and improvement of community clinic at Demo Village 41, Demo Block 5",26.506374,73.665597,SYNTHETIC_PROTOTYPE_COORDINATE,2023-04-21,4064000,4366000,4373000,2023-06-30,0,IA-S05-02-01,2023-08-12,2023-08-11,2024-09-19,2025-02-04,COMPLETION,COMPLETED,100.0,3716000,3716000,SYNTHETIC_V2,True
W-000036,MP-S06-03,Tamil Nadu,Tamil Nadu Demo Constituency 3,Tamil Nadu Demo District 2,Demo Block 1,Demo Village 7,Drinking Water,drinking water pipeline,"Construction and improvement of drinking water pipeline at Demo Village 7, Demo Block 1",11.013531,78.57784,SYNTHETIC_PROTOTYPE_COORDINATE,2023-05-02,5613000,5367000,5291000,2023-05-27,0,IA-S06-02-01,2023-07-12,2023-08-04,2024-03-31,2024-03-02,COMPLETION,COMPLETED,100.0,4705000,4705000,SYNTHETIC_V2,True
W-000037,MP-S01-01,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,Andhra Pradesh Demo District 3,Demo Block 2,Demo Village 14,Education,college laboratory,"Construction and improvement of college laboratory at Demo Village 14, Demo Block 2",15.229584,79.59298,SYNTHETIC_PROTOTYPE_COORDINATE,2023-05-13,11534000,11571000,11528000,2023-08-15,0,IA-S01-03-01,2023-09-25,2023-10-22,2024-12-31,2025-04-01,COMPLETION,COMPLETED,100.0,10642000,10642000,SYNTHETIC_V2,True
W-000038,MP-S02-01,Karnataka,Karnataka Demo Constituency 1,Karnataka Demo District 3,Demo Block 3,Demo Village 21,Roads,culvert improvement,"Construction and improvement of culvert improvement at Demo Village 21, Demo Block 3",15.241296,75.605252,SYNTHETIC_PROTOTYPE_COORDINATE,2023-05-24,7289000,6970000,6949000,2023-06-24,0,IA-S02-03-01,2023-08-18,2023-09-03,2024-09-11,2024-09-22,COMPLETION,COMPLETED,100.0,8806000,8806000,SYNTHETIC_V2,True
W-000039,MP-S03-01,Maharashtra,Maharashtra Demo Constituency 1,Maharashtra Demo District 3,Demo Block 4,Demo Village 28,Others,solar street lighting,"Construction and improvement of solar street lighting at Demo Village 28, Demo Block 4",19.354923,74.917507,SYNTHETIC_PROTOTYPE_COORDINATE,2023-06-04,2472000,2427000,2214000,2023-08-23,0,IA-S03-03-01,2023-09-21,2023-09-21,2024-08-04,2024-11-10,COMPLETION,COMPLETED,100.0,1925000,1925000,SYNTHETIC_V2,True
W-000040,MP-S04-01,Odisha,Odisha Demo Constituency 1,Odisha Demo District 3,Demo Block 5,Demo Village 35,Community Infrastructure,public shelter,"Construction and improvement of public shelter at Demo Village 35, Demo Block 5",20.461724,84.32568,SYNTHETIC_PROTOTYPE_COORDINATE,2023-06-15,7655000,7244000,,,0,IA-S04-03-01,,,,,PRE_SANCTION,RECOMMENDED,0.0,0,,SYNTHETIC_V2,True
W-000041,MP-S05-01,Rajasthan,Rajasthan Demo Constituency 1,Rajasthan Demo District 3,Demo Block 1,Demo Village 1,Health,community clinic,"Construction and improvement of community clinic at Demo Village 1, Demo Block 1",26.574495,73.738541,SYNTHETIC_PROTOTYPE_COORDINATE,2023-06-26,6553000,6123000,,,0,IA-S05-03-01,,,,,PRE_SANCTION,RECOMMENDED,0.0,0,,SYNTHETIC_V2,True
W-000042,MP-S06-01,Tamil Nadu,Tamil Nadu Demo Constituency 1,Tamil Nadu Demo District 3,Demo Block 2,Demo Village 8,Drinking Water,drinking water pipeline,"Construction and improvement of drinking water pipeline at Demo Village 8, Demo Block 2",11.086247,78.650773,SYNTHETIC_PROTOTYPE_COORDINATE,2023-07-07,6219000,6194000,6462000,2023-10-20,1,IA-S06-03-01,2023-12-08,2023-12-11,2026-11-23,,EXECUTION,ONGOING,92,5535000,,SYNTHETIC_V2,True
W-000043,MP-S01-02,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,Andhra Pradesh Demo District 3,Demo Block 3,Demo Village 15,Education,college laboratory,"Construction and improvement of college laboratory at Demo Village 15, Demo Block 3",15.301763,79.663976,SYNTHETIC_PROTOTYPE_COORDINATE,2023-07-18,9006000,8842000,9176000,2023-09-19,0,IA-S01-03-01,2023-11-18,2023-12-01,2027-04-16,,EXECUTION,ONGOING,85.0,9374000,,SYNTHETIC_V2,True
W-000044,MP-S02-02,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 3,Demo Block 4,Demo Village 22,Roads,culvert improvement,"Construction and improvement of culvert improvement at Demo Village 22, Demo Block 4",15.309413,75.675117,SYNTHETIC_PROTOTYPE_COORDINATE,2023-07-29,9904000,10203000,10440000,2023-10-12,0,IA-S02-03-01,2023-11-05,2023-12-01,2027-03-03,,EXECUTION,ONGOING,79.0,9903000,,SYNTHETIC_V2,True
W-000045,MP-S03-02,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 3,Demo Block 5,Demo Village 29,Others,solar street lighting,"Construction and improvement of solar street lighting at Demo Village 29, Demo Block 5",19.425557,74.99042,SYNTHETIC_PROTOTYPE_COORDINATE,2023-08-09,5772000,5894000,6298000,2023-10-02,0,IA-S03-03-01,2023-11-19,2023-12-09,2025-01-05,,EXECUTION,ONGOING,92,6393000,,SYNTHETIC_V2,True
W-000046,MP-S04-02,Odisha,Odisha Demo Constituency 2,Odisha Demo District 3,Demo Block 1,Demo Village 36,Community Infrastructure,public shelter,"Construction and improvement of public shelter at Demo Village 36, Demo Block 1",20.534298,84.398575,SYNTHETIC_PROTOTYPE_COORDINATE,2023-08-20,10239000,9914000,10154000,2023-10-16,1,IA-S04-03-01,2023-11-12,2023-12-09,2026-11-12,,EXECUTION,ONGOING,80.9,7399000,,SYNTHETIC_V2,True
W-000047,MP-S05-02,Rajasthan,Rajasthan Demo Constituency 2,Rajasthan Demo District 3,Demo Block 2,Demo Village 2,Health,community clinic,"Construction and improvement of community clinic at Demo Village 2, Demo Block 2",26.646903,73.81105,SYNTHETIC_PROTOTYPE_COORDINATE,2023-08-31,649000,659000,684000,2023-11-21,0,IA-S05-03-01,2024-01-09,2024-02-13,2026-10-26,,EXECUTION,ONGOING,32.5,704000,,SYNTHETIC_V2,True
W-000048,MP-S06-02,Tamil Nadu,Tamil Nadu Demo Constituency 2,Tamil Nadu Demo District 3,Demo Block 3,Demo Village 9,Drinking Water,drinking water pipeline,"Construction and improvement of drinking water pipeline at Demo Village 9, Demo Block 3",11.16212,78.725656,SYNTHETIC_PROTOTYPE_COORDINATE,2023-09-11,2888000,2861000,2951000,2023-12-24,0,IA-S06-03-01,2024-02-11,2024-02-26,2025-06-14,,EXECUTION,ONGOING,92,3076000,,SYNTHETIC_V2,True
W-000049,MP-S01-03,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,Andhra Pradesh Demo District 3,Demo Block 4,Demo Village 16,Education,college laboratory,"Construction and improvement of college laboratory at Demo Village 16, Demo Block 4",15.369092,79.737685,SYNTHETIC_PROTOTYPE_COORDINATE,2023-09-22,7989000,7862000,6959000,2023-12-15,0,IA-S01-03-01,2024-01-27,2024-02-28,2024-10-28,2024-10-04,COMPLETION,COMPLETED,100.0,6180000,6180000,SYNTHETIC_V2,True
W-000050,MP-S02-03,Karnataka,Karnataka Demo Constituency 3,Karnataka Demo District 3,Demo Block 5,Demo Village 23,Roads,culvert improvement,"Construction and improvement of culvert improvement at Demo Village 23, Demo Block 5",15.384753,75.745928,SYNTHETIC_PROTOTYPE_COORDINATE,2023-10-03,4374000,4695000,4711000,2023-11-03,0,IA-S02-03-01,2023-11-24,2024-01-03,2025-03-06,2025-07-07,COMPLETION,COMPLETED,100.0,4472000,4472000,SYNTHETIC_V2,True
W-000051,MP-S03-03,Maharashtra,Maharashtra Demo Constituency 3,Maharashtra Demo District 3,Demo Block 1,Demo Village 30,Roads,rural road,"Construction and improvement of rural road at Demo Village 30, Demo Block 1",19.498449,75.057049,SYNTHETIC_PROTOTYPE_COORDINATE,2023-10-14,7395000,7129000,7049000,2023-11-10,0,IA-S03-03-01,2023-12-17,2023-12-12,2024-10-20,2024-09-28,COMPLETION,COMPLETED,100.0,5955000,5955000,SYNTHETIC_V2,True
W-000052,MP-S04-03,Odisha,Odisha Demo Constituency 3,Odisha Demo District 3,Demo Block 2,Demo Village 37,Others,public sanitation block,"Construction and improvement of public sanitation block at Demo Village 37, Demo Block 2",20.607288,84.473947,SYNTHETIC_PROTOTYPE_COORDINATE,2023-10-25,8308000,8675000,7695000,2024-01-14,0,IA-S04-03-01,2024-02-16,2024-03-19,2024-10-10,2024-11-17,COMPLETION,COMPLETED,100.0,7501000,7501000,SYNTHETIC_V2,True
W-000053,MP-S05-03,Rajasthan,Rajasthan Demo Constituency 3,Rajasthan Demo District 3,Demo Block 3,Demo Village 3,Community Infrastructure,sports facility,"Construction and improvement of sports facility at Demo Village 3, Demo Block 3",26.721869,73.882805,SYNTHETIC_PROTOTYPE_COORDINATE,2023-11-05,9788000,9542000,9546000,2023-12-07,0,IA-S05-03-01,2024-02-07,2024-03-16,2025-02-01,2025-06-09,COMPLETION,COMPLETED,100.0,9000000,9000000,SYNTHETIC_V2,True
W-000054,MP-S06-03,Tamil Nadu,Tamil Nadu Demo Constituency 3,Tamil Nadu Demo District 3,Demo Block 4,Demo Village 10,Health,primary health centre,"Construction and improvement of primary health centre at Demo Village 10, Demo Block 4",11.230768,78.793802,SYNTHETIC_PROTOTYPE_COORDINATE,2023-11-16,9697000,9118000,8824000,2023-12-22,0,IA-S06-03-01,2024-02-16,2024-03-21,2025-06-17,2025-07-28,COMPLETION,COMPLETED,100.0,7399000,7399000,SYNTHETIC_V2,True
W-000055,MP-S01-01,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,Andhra Pradesh Demo District 1,Demo Block 5,Demo Village 17,Drinking Water,community water tank,"Construction and improvement of community water tank at Demo Village 17, Demo Block 5",15.443564,79.808415,SYNTHETIC_PROTOTYPE_COORDINATE,2023-11-27,1825000,1816000,1711000,2024-02-09,0,IA-S01-01-02,2024-03-10,2024-04-06,2025-03-13,2025-05-02,COMPLETION,COMPLETED,100.0,1624000,1624000,SYNTHETIC_V2,True
W-000056,MP-S02-01,Karnataka,Karnataka Demo Constituency 1,Karnataka Demo District 1,Demo Block 1,Demo Village 24,Education,library building,"Construction and improvement of library building at Demo Village 24, Demo Block 1",15.45864,75.818273,SYNTHETIC_PROTOTYPE_COORDINATE,2023-12-08,8508000,8826000,8932000,2024-03-18,0,IA-S02-01-02,2024-04-05,2024-05-15,2024-11-07,2024-12-09,COMPLETION,COMPLETED,100.0,10973000,10973000,SYNTHETIC_V2,True
