work_id,completion_date,completion_marked_date,final_expenditure_inr,utilization_certificate_status,utilization_certificate_date,asset_id,asset_type,user_agency,asset_register_entry,handover_date,public_use_date,audit_status,audit_date,audit_observation_category,compliance_status,maintenance_agency,completion_photo_reference,source_type,synthetic_marker
W-000082,2026-08-31,2026-09-01,1273000,Submitted,2026-10-14,ASSET-W-000082,Anganwadi Building,Demo Village 28 Demo User Agency,Yes,2026-09-12,2026-09-22,Pending,,None recorded,Compliant,Demo Village 28 Demo Local Body,demo://photos/W-000082/completion,SYNTHETIC_PROTOTYPE,True
W-000083,2026-08-31,2026-09-07,4021000,Pending,,ASSET-W-000083,Public Health Facility,Demo Village 24 Demo User Agency,Pending,2026-09-12,2026-09-25,Not Due,,Documentation / closure review,Review Required,Demo Village 24 Demo Local Body,demo://photos/W-000083/completion,SYNTHETIC_PROTOTYPE,True
W-000085,2026-08-31,2026-09-05,830000,Submitted,2026-09-14,ASSET-W-000085,Community Sanitation,Demo Village 11 Demo User Agency,Yes,2026-09-04,2026-09-23,Not Due,,None recorded,Compliant,Demo Village 11 Demo Local Body,demo://photos/W-000085/completion,SYNTHETIC_PROTOTYPE,True
W-000088,2026-08-31,2026-09-03,1095000,Submitted,2026-10-14,ASSET-W-000088,Library Room,Demo Village 9 Demo User Agency,Yes,2026-09-18,2026-09-02,Not Due,,None recorded,Compliant,Demo Village 9 Demo Local Body,demo://photos/W-000088/completion,SYNTHETIC_PROTOTYPE,True
W-000090,2026-08-31,2026-09-04,1068000,Submitted,2026-09-06,ASSET-W-000090,Playground Development,Demo Village 19 Demo User Agency,Yes,2026-09-15,2026-09-20,Not Due,,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-000090/completion,SYNTHETIC_PROTOTYPE,True
W-000091,2026-08-31,2026-09-03,1573000,Submitted,2026-09-27,ASSET-W-000091,Drainage,Demo Village 9 Demo User Agency,Yes,2026-09-14,2026-09-28,Completed,2026-10-01,None recorded,Compliant,Demo Village 9 Demo Local Body,demo://photos/W-000091/completion,SYNTHETIC_PROTOTYPE,True
W-000092,2026-08-31,2026-09-04,2220000,Submitted,2026-09-22,ASSET-W-000092,Approach Road,Demo Village 34 Demo User Agency,Yes,2026-09-03,2026-09-04,Completed,2026-10-08,None recorded,Compliant,Demo Village 34 Demo Local Body,demo://photos/W-000092/completion,SYNTHETIC_PROTOTYPE,True
W-000093,2026-08-31,2026-09-08,1934000,Submitted,2026-09-22,ASSET-W-000093,Public Toilet,Demo Village 29 Demo User Agency,Yes,2026-09-17,2026-09-06,Not Due,,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-000093/completion,SYNTHETIC_PROTOTYPE,True
W-000096,2026-08-31,2026-08-31,2271000,Submitted,2026-09-05,ASSET-W-000096,School Toilet,Demo Village 29 Demo User Agency,Yes,2026-09-10,2026-09-09,Completed,2026-10-11,None recorded,Compliant,Demo Village 29 Demo Local Body,demo://photos/W-000096/completion,SYNTHETIC_PROTOTYPE,True
W-000099,2026-08-31,2026-09-07,738000,Submitted,2026-09-19,ASSET-W-000099,Indoor Sports Hall,Demo Village 5 Demo User Agency,Yes,2026-09-06,2026-09-25,Not Due,,None recorded,Compliant,Demo Village 5 Demo Local Body,demo://photos/W-000099/completion,SYNTHETIC_PROTOTYPE,True
W-000100,2026-08-31,2026-09-08,3163000,Pending,,ASSET-W-000100,Borewell,Demo Village 16 Demo User Agency,No,2026-09-02,2026-09-01,Pending,,Documentation / closure review,Review Required,Demo Village 16 Demo Local Body,demo://photos/W-000100/completion,SYNTHETIC_PROTOTYPE,True
W-000103,2026-08-31,2026-09-04,2215000,Submitted,2026-10-13,ASSET-W-000103,Drainage,Demo Village 16 Demo User Agency,Yes,2026-09-11,2026-09-07,Not Due,,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000103/completion,SYNTHETIC_PROTOTYPE,True
W-000107,2026-08-31,2026-08-31,1440000,Submitted,2026-09-30,ASSET-W-000107,CC Road,Demo Village 3 Demo User Agency,Yes,2026-09-03,2026-09-29,Completed,2026-10-10,None recorded,Compliant,Demo Village 3 Demo Local Body,demo://photos/W-000107/completion,SYNTHETIC_PROTOTYPE,True
W-000109,2026-08-31,2026-09-06,2120000,Submitted,2026-09-16,ASSET-W-000109,Health Sub-Centre,Demo Village 17 Demo User Agency,Yes,2026-09-06,2026-09-16,Pending,,None recorded,Compliant,Demo Village 17 Demo Local Body,demo://photos/W-000109/completion,SYNTHETIC_PROTOTYPE,True
W-000113,2026-08-31,2026-09-02,1839000,Submitted,2026-10-15,ASSET-W-000113,Digital Classroom,Demo Village 35 Demo User Agency,Yes,2026-09-01,2026-09-16,Completed,2027-01-24,None recorded,Compliant,Demo Village 35 Demo Local Body,demo://photos/W-000113/completion,SYNTHETIC_PROTOTYPE,True
W-000117,2026-08-31,2026-08-31,1033000,Submitted,2026-09-11,ASSET-W-000117,Health Sub-Centre,Demo Village 15 Demo User Agency,Yes,2026-09-10,2026-09-11,Completed,2026-12-06,None recorded,Compliant,Demo Village 15 Demo Local Body,demo://photos/W-000117/completion,SYNTHETIC_PROTOTYPE,True
W-000118,2026-08-31,2026-09-02,2648000,Submitted,2026-09-06,ASSET-W-000118,Solar Street Lights,Demo Village 1 Demo User Agency,Yes,2026-09-14,2026-09-07,Pending,,None recorded,Compliant,Demo Village 1 Demo Local Body,demo://photos/W-000118/completion,SYNTHETIC_PROTOTYPE,True
W-000120,2026-08-31,2026-09-01,2290000,Submitted,2026-09-24,ASSET-W-000120,Playground Development,Demo Village 13 Demo User Agency,Yes,2026-09-16,2026-09-04,Not Due,,None recorded,Compliant,Demo Village 13 Demo Local Body,demo://photos/W-000120/completion,SYNTHETIC_PROTOTYPE,True
W-000121,2026-08-31,2026-09-06,3829000,Submitted,2026-10-15,ASSET-W-000121,Approach Road,Demo Village 12 Demo User Agency,Yes,2026-09-15,2026-09-05,Completed,2027-02-17,None recorded,Compliant,Demo Village 12 Demo Local Body,demo://photos/W-000121/completion,SYNTHETIC_PROTOTYPE,True
W-000122,2026-08-31,2026-09-03,2793000,Submitted,2026-09-17,ASSET-W-000122,School Classroom,Demo Village 34 Demo User Agency,Yes,2026-09-05,2026-09-18,Not Due,,None recorded,Compliant,Demo Village 34 Demo Local Body,demo://photos/W-000122/completion,SYNTHETIC_PROTOTYPE,True
W-000127,2026-08-31,2026-08-31,1436000,Submitted,2026-10-09,ASSET-W-000127,Solar Community Lighting,Demo Village 16 Demo User Agency,Yes,2026-09-04,2026-09-12,Not Due,,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000127/completion,SYNTHETIC_PROTOTYPE,True
W-000128,2026-08-31,2026-09-06,3024000,Submitted,2026-09-16,ASSET-W-000128,RO Water Plant,Demo Village 33 Demo User Agency,Yes,2026-09-12,2026-09-17,Not Due,,None recorded,Compliant,Demo Village 33 Demo Local Body,demo://photos/W-000128/completion,SYNTHETIC_PROTOTYPE,True
W-000130,2026-08-31,2026-09-08,1632000,Submitted,2026-10-08,ASSET-W-000130,Playground Development,Demo Village 1 Demo User Agency,Yes,2026-09-18,2026-09-03,Completed,2026-10-28,None recorded,Compliant,Demo Village 1 Demo Local Body,demo://photos/W-000130/completion,SYNTHETIC_PROTOTYPE,True
W-000131,2026-08-31,2026-08-31,2201000,Submitted,2026-09-24,ASSET-W-000131,Solar Street Lights,Demo Village 16 Demo User Agency,Yes,2026-09-06,2026-09-18,Completed,2026-10-17,None recorded,Compliant,Demo Village 16 Demo Local Body,demo://photos/W-000131/completion,SYNTHETIC_PROTOTYPE,True
W-000132,2026-08-31,2026-09-03,1911000,Submitted,2026-10-08,ASSET-W-000132,Borewell,Demo Village 27 Demo User Agency,Yes,2026-09-12,2026-09-22,Completed,2027-01-11,None recorded,Compliant,Demo Village 27 Demo Local Body,demo://photos/W-000132/completion,SYNTHETIC_PROTOTYPE,True
W-000133,2026-08-31,2026-09-05,851000,Submitted,2026-10-11,ASSET-W-000133,Community Hall,Demo Village 2 Demo User Agency,Yes,2026-09-20,2026-09-03,Not Due,,None recorded,Compliant,Demo Village 2 Demo Local Body,demo://photos/W-000133/completion,SYNTHETIC_PROTOTYPE,True
W-000135,2026-08-31,2026-09-04,2287000,Submitted,2026-09-24,ASSET-W-000135,Solar Community Lighting,Demo Village 26 Demo User Agency,Yes,2026-09-18,2026-09-20,Completed,2027-01-05,None recorded,Compliant,Demo Village 26 Demo Local Body,demo://photos/W-000135/completion,SYNTHETIC_PROTOTYPE,True
W-000136,2026-08-31,2026-09-05,660000,Submitted,2026-09-28,ASSET-W-000136,Public Toilet,Demo Village 18 Demo User Agency,Yes,2026-09-01,2026-09-07,Completed,2026-11-25,None recorded,Compliant,Demo Village 18 Demo Local Body,demo://photos/W-000136/completion,SYNTHETIC_PROTOTYPE,True
W-000137,2026-08-31,2026-09-03,2678000,Submitted,2026-10-02,ASSET-W-000137,Sports Equipment Facility,Demo Village 19 Demo User Agency,Yes,2026-09-04,2026-09-26,Pending,,None recorded,Compliant,Demo Village 19 Demo Local Body,demo://photos/W-000137/completion,SYNTHETIC_PROTOTYPE,True
W-000139,2026-08-31,2026-09-10,2145000,Pending,,ASSET-W-000139,Public Health Facility,Demo Village 9 Demo User Agency,Pending,2026-09-02,2026-09-12,Not Due,,Documentation / closure review,Review Required,Demo Village 9 Demo Local Body,demo://photos/W-000139/completion,SYNTHETIC_PROTOTYPE,True
W-000140,2026-08-31,2026-09-10,3693000,Submitted,2026-09-26,ASSET-W-000140,PHC Equipment Room,Demo Village 26 Demo User Agency,Yes,2026-09-03,2026-09-26,Not Due,,None recorded,Compliant,Demo Village 26 Demo Local Body,demo://photos/W-000140/completion,SYNTHETIC_PROTOTYPE,True
W-000141,2026-08-31,2026-08-31,3261000,Submitted,2026-10-03,ASSET-W-000141,Community Hall,Demo Village 11 Demo User Agency,Yes,2026-09-15,2026-09-14,Pending,,None recorded,Compliant,Demo Village 11 Demo Local Body,demo://photos/W-000141/completion,SYNTHETIC_PROTOTYPE,True
W-000142,2026-08-31,2026-09-09,1206000,Submitted,2026-09-28,ASSET-W-000142,Water Tank,Demo Village 6 Demo User Agency,Yes,2026-09-14,2026-09-29,Completed,2026-11-18,None recorded,Compliant,Demo Village 6 Demo Local Body,demo://photos/W-000142/completion,SYNTHETIC_PROTOTYPE,True
W-000143,2026-08-31,2026-09-01,977000,Submitted,2026-10-11,ASSET-W-000143,Public Health Facility,Demo Village 11 Demo User Agency,Yes,2026-09-18,2026-09-04,Pending,,None recorded,Compliant,Demo Village 11 Demo Local Body,demo://photos/W-000143/completion,SYNTHETIC_PROTOTYPE,True
W-000145,2026-08-31,2026-09-02,1449000,Submitted,2026-09-25,ASSET-W-000145,Community Sanitation,Demo Village 3 Demo User Agency,Yes,2026-09-07,2026-09-09,Completed,2026-10-11,None recorded,Compliant,Demo Village 3 Demo Local Body,demo://photos/W-000145/completion,SYNTHETIC_PROTOTYPE,True
W-000146,2026-08-31,2026-09-04,2224000,Submitted,2026-10-13,ASSET-W-000146,Digital Classroom,Demo Village 22 Demo User Agency,Yes,2026-09-16,2026-09-28,Not Due,,None recorded,Compliant,Demo Village 22 Demo Local Body,demo://photos/W-000146/completion,SYNTHETIC_PROTOTYPE,True
W-000147,2026-08-31,2026-09-05,2893000,Submitted,2026-09-30,ASSET-W-000147,Sports Equipment Facility,Demo Village 21 Demo User Agency,Yes,2026-09-14,2026-09-26,Pending,,None recorded,Compliant,Demo Village 21 Demo Local Body,demo://photos/W-000147/completion,SYNTHETIC_PROTOTYPE,True
W-000151,2026-08-31,2026-09-10,2250000,Submitted,2026-09-30,ASSET-W-000151,Solar Community Lighting,Demo Village 22 Demo User Agency,Yes,2026-09-01,2026-09-15,Pending,,None recorded,Compliant,Demo Village 22 Demo Local Body,demo://photos/W-000151/completion,SYNTHETIC_PROTOTYPE,True
