work_id,mp_id,house_type,tenure,state_name,constituency,nodal_district,recommendation_date,recommendation_type,sector,sub_sector,work_description,work_location_state,district,block,village,latitude,longitude,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,sanction_date,sanction_status,implementing_agency_id,expected_start_date,expected_completion_date,actual_start_date,current_status,current_physical_progress_pct,current_expenditure_inr,duplicate_group_reference,source_type,source_reference,synthetic_marker
W-000020,MP-MH-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Maharashtra,Maharashtra Demo Constituency 5,Maharashtra Demo District 1,2024-04-07,Normal MPLADS Work,Community Infrastructure,Public Waiting Hall,"Development of Public Waiting Hall at Demo Village 29, Demo Block 3, Maharashtra Demo District 1",Maharashtra,Maharashtra Demo District 1,Demo Block 3,Demo Village 29,18.245341,75.250225,1991000,1990000,1942000,2024-05-01,Sanctioned,IA-MH-005,2024-05-14,2024-12-16,2024-06-12,Completed,100.0,1852000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000021,MP-TS-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Telangana,Telangana Demo Constituency 3,Telangana Demo District 3,2024-02-14,Normal MPLADS Work,Roads & Bridges,Approach Road,"Development of Approach Road at Demo Village 8, Demo Block 5, Telangana Demo District 1",Telangana,Telangana Demo District 1,Demo Block 5,Demo Village 8,16.900091,79.780167,4096000,4123000,4048000,2024-03-30,Sanctioned,IA-TS-005,2024-04-17,2024-11-16,2024-04-19,Completed,100.0,4217000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000022,MP-OD-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Rajya Sabha Seat,Odisha Demo District 2,2024-04-27,Normal MPLADS Work,Sanitation,Drainage,"Development of Drainage at Demo Village 22, Demo Block 5, Odisha Demo District 3",Odisha,Odisha Demo District 3,Demo Block 5,Demo Village 22,21.507652,84.485758,2574000,2757000,2784000,2024-05-17,Sanctioned,IA-OD-003,2024-05-25,2025-03-12,2024-05-20,Completed,100.0,2905000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000023,MP-KA-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Karnataka,Karnataka Demo Constituency 5,Karnataka Demo District 1,2026-02-24,Normal MPLADS Work,Roads & Bridges,Approach Road,"Development of Approach Road at Demo Village 20, Demo Block 4, Karnataka Demo District 1",Karnataka,Karnataka Demo District 1,Demo Block 4,Demo Village 20,14.962942,76.987281,2991000,3083000,3150000,2026-03-03,Sanctioned,IA-KA-006,2026-03-30,2026-12-29,2026-04-28,Ongoing,50.0,1344000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000024,MP-KA-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 2,2023-05-13,Normal MPLADS Work,Roads & Bridges,Small Bridge,"Development of Small Bridge at Demo Village 29, Demo Block 2, Karnataka Demo District 4",Karnataka,Karnataka Demo District 4,Demo Block 2,Demo Village 29,15.824678,76.542294,2009000,2136000,2184000,2023-06-23,Sanctioned,IA-KA-001,2023-07-28,2024-06-08,2023-07-27,Completed,100.0,2077000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000025,MP-KA-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 2,2024-07-23,Normal MPLADS Work,Roads & Bridges,Small Bridge,"Development of Small Bridge at Demo Village 2, Demo Block 1, Karnataka Demo District 2",Karnataka,Karnataka Demo District 2,Demo Block 1,Demo Village 2,16.334948,75.345097,4211000,4356000,4510000,2024-09-10,Sanctioned,IA-KA-003,2024-10-25,2025-06-19,2024-10-21,Completed,100.0,4269000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000026,MP-AP-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Demo Constituency 4,Andhra Pradesh Demo District 4,2025-11-19,Normal MPLADS Work,Drinking Water,RO Water Plant,"Development of RO Water Plant at Demo Village 3, Demo Block 4, Andhra Pradesh Demo District 1",Andhra Pradesh,Andhra Pradesh Demo District 1,Demo Block 4,Demo Village 3,16.285118,81.074544,2268000,2360000,2367000,2025-11-27,Sanctioned,IA-AP-004,2025-12-05,2026-09-14,2025-12-16,Ongoing,87.6,2233000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000027,MP-KA-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Karnataka,Karnataka Demo Constituency 3,Karnataka Demo District 3,2025-10-31,Normal MPLADS Work,Health,PHC Equipment Room,"Development of PHC Equipment Room at Demo Village 18, Demo Block 5, Karnataka Demo District 2",Karnataka,Karnataka Demo District 2,Demo Block 5,Demo Village 18,14.296311,75.617833,1152000,1220000,1663000,2025-12-19,Sanctioned,IA-KA-006,2025-12-27,2026-11-26,2026-01-15,Ongoing,83.2,1395000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000028,MP-TS-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Telangana,Telangana Demo Constituency 3,Telangana Demo District 3,2024-08-09,Normal MPLADS Work,Drinking Water,Water Tank,"Development of Water Tank at Demo Village 27, Demo Block 2, Telangana Demo District 2",Telangana,Telangana Demo District 2,Demo Block 2,Demo Village 27,16.310843,79.676725,1925000,2031000,2077000,2024-09-10,Sanctioned,IA-TS-004,2024-09-24,2025-05-26,2024-10-04,Completed,100.0,2181000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000029,MP-MH-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 2,2026-05-06,Normal MPLADS Work,Sanitation,Public Toilet,"Development of Public Toilet at Demo Village 9, Demo Block 8, Maharashtra Demo District 3",Maharashtra,Maharashtra Demo District 3,Demo Block 8,Demo Village 9,18.237039,76.407244,1124000,1197000,1179000,2026-05-13,Sanctioned,IA-MH-003,2026-05-24,2026-11-22,2026-06-09,Ongoing,47.4,571000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000030,MP-RJ-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Rajasthan,Rajasthan Demo Constituency 4,Rajasthan Demo District 4,2025-08-05,Normal MPLADS Work,Sanitation,Drainage,"Development of Drainage at Demo Village 35, Demo Block 5, Rajasthan Demo District 4",Rajasthan,Rajasthan Demo District 4,Demo Block 5,Demo Village 35,27.305479,74.680486,2559000,2456000,0,,Pending,,,,,Not Applicable,0.0,0,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000031,MP-OD-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Demo Constituency 4,Odisha Demo District 4,2026-01-15,Normal MPLADS Work,Community Infrastructure,Public Waiting Hall,"Development of Public Waiting Hall at Demo Village 11, Demo Block 2, Odisha Demo District 1",Odisha,Odisha Demo District 1,Demo Block 2,Demo Village 11,21.318449,84.52556,3395000,3455000,3448000,2026-03-03,Sanctioned,IA-OD-002,2026-04-04,2027-02-15,2026-04-20,Ongoing,34.6,1084000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000032,MP-RJ-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Rajasthan,Rajasthan Demo Constituency 5,Rajasthan Demo District 1,2026-02-19,Normal MPLADS Work,Drinking Water,Water Tank,"Development of Water Tank at Demo Village 10, Demo Block 7, Rajasthan Demo District 3",Rajasthan,Rajasthan Demo District 3,Demo Block 7,Demo Village 10,26.606214,75.242748,1832000,1782000,1839000,2026-03-10,Sanctioned,IA-RJ-002,2026-04-15,2027-01-12,2026-05-14,Ongoing,39.7,724000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000033,MP-MH-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Maharashtra,Maharashtra Demo Constituency 1,Maharashtra Demo District 1,2024-12-10,Normal MPLADS Work,Drinking Water,Water Tank,"Development of Water Tank at Demo Village 9, Demo Block 7, Maharashtra Demo District 4",Maharashtra,Maharashtra Demo District 4,Demo Block 7,Demo Village 9,19.337856,75.187804,1385000,1308000,1292000,2025-01-19,Sanctioned,IA-MH-005,2025-02-26,2025-10-23,2025-02-26,Completed,100.0,1339000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000034,MP-KA-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Karnataka,Karnataka Demo Constituency 5,Karnataka Demo District 1,2023-05-11,Normal MPLADS Work,Education,Library Room,"Development of Library Room at Demo Village 19, Demo Block 4, Karnataka Demo District 4",Karnataka,Karnataka Demo District 4,Demo Block 4,Demo Village 19,15.958493,77.004963,3483000,3485000,3449000,2023-06-19,Sanctioned,IA-KA-001,2023-06-27,2024-01-25,2023-07-03,Completed,100.0,3350000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000035,MP-AP-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,Andhra Pradesh Demo District 2,2024-01-24,Normal MPLADS Work,Sanitation,Public Toilet,"Development of Public Toilet at Demo Village 25, Demo Block 6, Andhra Pradesh Demo District 4",Andhra Pradesh,Andhra Pradesh Demo District 4,Demo Block 6,Demo Village 25,17.154965,79.914276,2759000,2609000,2704000,2024-03-01,Sanctioned,IA-AP-005,2024-03-19,2024-12-24,2024-04-21,Completed,100.0,2770000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000036,MP-OD-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Demo Constituency 1,Odisha Demo District 1,2025-01-15,Normal MPLADS Work,Roads & Bridges,Rural Road,"Development of Rural Road at Demo Village 16, Demo Block 3, Odisha Demo District 2",Odisha,Odisha Demo District 2,Demo Block 3,Demo Village 16,20.596767,85.019274,1563000,1610000,1596000,2025-02-22,Sanctioned,IA-OD-003,2025-03-30,2026-01-28,2025-04-06,Completed,100.0,1608000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000037,MP-MH-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,Maharashtra,Maharashtra Rajya Sabha Seat,Maharashtra Demo District 2,2026-05-07,Normal MPLADS Work,Health,Ambulance Shelter,"Development of Ambulance Shelter at Demo Village 2, Demo Block 2, Maharashtra Demo District 3",Maharashtra,Maharashtra Demo District 3,Demo Block 2,Demo Village 2,18.220196,76.696716,2663000,2624000,2682000,2026-06-11,Sanctioned,IA-MH-002,2026-07-01,2027-03-09,2026-07-17,Ongoing,27.7,635000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000038,MP-AP-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Rajya Sabha Seat,Andhra Pradesh Demo District 2,2025-11-01,Normal MPLADS Work,Roads & Bridges,CC Road,"Development of CC Road at Demo Village 22, Demo Block 7, Andhra Pradesh Demo District 1",Andhra Pradesh,Andhra Pradesh Demo District 1,Demo Block 7,Demo Village 22,15.669516,79.734001,3599000,3835000,0,,Pending,,,,,Not Applicable,0.0,0,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000039,MP-OD-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Demo Constituency 3,Odisha Demo District 3,2026-05-04,Normal MPLADS Work,Roads & Bridges,Approach Road,"Development of Approach Road at Demo Village 27, Demo Block 8, Odisha Demo District 2",Odisha,Odisha Demo District 2,Demo Block 8,Demo Village 27,20.565055,84.293535,1357000,1428000,1428000,2026-06-10,Sanctioned,IA-OD-005,2026-07-23,2027-07-16,2026-08-23,Sanctioned - Not Started,0.0,0,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000040,MP-KA-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Karnataka,Karnataka Demo Constituency 4,Karnataka Demo District 4,2024-03-24,Normal MPLADS Work,Sports,Indoor Sports Hall,"Development of Indoor Sports Hall at Demo Village 16, Demo Block 5, Karnataka Demo District 2",Karnataka,Karnataka Demo District 2,Demo Block 5,Demo Village 16,15.804173,75.792346,2004000,1907000,1962000,2024-04-04,Sanctioned,IA-KA-004,2024-05-01,2024-12-11,2024-05-18,Completed,100.0,2116000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000041,MP-AP-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,Andhra Pradesh Demo District 3,2024-04-21,Normal MPLADS Work,Sanitation,Solid Waste Shed,"Development of Solid Waste Shed at Demo Village 10, Demo Block 1, Andhra Pradesh Demo District 1",Andhra Pradesh,Andhra Pradesh Demo District 1,Demo Block 1,Demo Village 10,15.744866,79.866396,1232000,1317000,1309000,2024-05-30,Sanctioned,IA-AP-006,2024-06-25,2025-02-11,2024-07-04,Completed,100.0,1334000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
W-000042,MP-OD-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,Odisha,Odisha Demo Constituency 1,Odisha Demo District 1,2025-09-07,Normal MPLADS Work,Sports,Indoor Sports Hall,"Development of Indoor Sports Hall at Demo Village 12, Demo Block 3, Odisha Demo District 4",Odisha,Odisha Demo District 4,Demo Block 3,Demo Village 12,19.40124,83.226055,916000,903000,888000,2025-10-15,Sanctioned,IA-OD-003,2025-11-24,2026-11-11,2025-12-20,Ongoing,88.6,745000,,SYNTHETIC_PROTOTYPE,Schema modeled on SIH26102 requirements + public MPLADS/eSAKSHI workflow,True
